Block,DateTime (UTC),Txn,Fee Recipient,Fee Recipient Nametag,Gas Used,Gas Used(%), % Of Gas Target,Gas Limit,Base Fee,Reward,Burnt Fees (ETH),Burnt Fees (%)
"19785862","2024-05-02 23:58:35","185","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","20,858,090","69.53%","+39%","30,000,000","4.74 Gwei","0.11725 ETH","0.098987","45.78%"
"19785861","2024-05-02 23:58:23","118","0x88c6c46ebf353a52bdbab708c23d0c81daa8134a","MEV Builder: 0x88c...34A","9,667,630","32.23%","-36%","30,000,000","4.96 Gwei","0.03787 ETH","0.048013","55.90%"
"19785860","2024-05-02 23:58:11","234","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","22,295,400","74.32%","+49%","30,000,000","4.68 Gwei","0.00691 ETH","0.104382","93.78%"
"19785859","2024-05-02 23:57:59","229","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","29,986,271","99.95%","+100%","30,000,000","4.16 Gwei","0.03637 ETH","0.124803","77.43%"
"19785858","2024-05-02 23:57:47","33","0x388c818ca8b9251b393131c08a736a67ccb19297","Lido: Execution Layer Rewards Vault","1,992,708","6.64%","-87%","30,000,000","4.66 Gwei","0.0062 ETH","0.009302","59.97%"
"19785857","2024-05-02 23:57:35","134","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","12,616,491","42.05%","-16%","30,000,000","4.76 Gwei","0.00964 ETH","0.060087","86.16%"
"19785856","2024-05-02 23:57:23","208","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","18,763,254","62.54%","+25%","30,000,000","4.61 Gwei","0.01209 ETH","0.086645","87.75%"
"19785855","2024-05-02 23:57:11","134","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","10,142,405","33.81%","-32%","30,000,000","4.81 Gwei","0.01348 ETH","0.048811","78.35%"
"19785854","2024-05-02 23:56:59","149","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","10,706,999","35.69%","-29%","30,000,000","4.99 Gwei","0.01086 ETH","0.053440","83.10%"
"19785853","2024-05-02 23:56:47","129","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","11,618,611","38.73%","-23%","30,000,000","5.13 Gwei","0.034 ETH","0.059672","63.70%"
